2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:10,064 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52110)-4327190368
2025-04-13 20:19:10,064 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52110)-4327190368
2025-04-13 20:19:10,075 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52112)-4327191856
2025-04-13 20:19:10,075 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52112)-4327191856
2025-04-13 20:19:10,087 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52114)-4327193344
2025-04-13 20:19:10,087 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52114)-4327193344
2025-04-13 20:19:10,098 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52116)-4327375072
2025-04-13 20:19:10,099 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52116)-4327375072
2025-04-13 20:19:10,110 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52118)-4327376512
2025-04-13 20:19:10,110 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52118)-4327376512
2025-04-13 20:19:10,122 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52119)-4327377904
2025-04-13 20:19:10,123 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52119)-4327377904
2025-04-13 20:19:10,134 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52120)-4327379296
2025-04-13 20:19:10,134 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52120)-4327379296
